Legislation or Policy Name,Judicial Status,Key Constitutional Issue,Executive Workaround (Inferred),Implementation Mechanism,Current Status,Source
Building Bridges Initiative (BBI) / Constitution of Kenya (Amendment) Bill 2020,"Declared Unconstitutional (High Court, Court of Appeal, and Supreme Court)",Basic Structure Doctrine; Sovereignty of the people; Separation of Powers; Presidential overreach in initiating a 'popular initiative' (Article 257); Fraud on the Constitution.,Policy Laundering: Framing an executive project as a 'popular initiative' to bypass consensus; Shifted strategy to 'statutory expansion' (creating offices via ordinary Acts) or fragmented implementation via executive actions and budget allocations.,Constitutional Amendment Bill (Popular Initiative),Nullified / Halted,1-9
Constituency Development Fund (CDF) / National Government Constituencies Development Fund (NG-CDF),"Declared Unconstitutional (2015, 2022, 2024)","Separation of Powers (Articles 1, 94, 95); Devolution (Chapter 11, Article 174); MPs performing executive functions; Public Finance Management.","Legislative Ping-Pong: Repeated rebranding (CDF to NG-CDF) and cosmetic structural changes (e.g., naming MPs 'patrons') to appear compliant while maintaining control; currently seeking permanent constitutional entrenchment to render judicial review moot.",Primary legislation,"High Court granted transition period until June 30, 2026; Parliament seeking constitutional amendment (Bill 2025).","4, 7, 8, 10-14"
"Affordable Housing Levy / Affordable Housing Act, 2024",Declared Unconstitutional (High Court 2023); Challenge declared Moot (Supreme Court 2024),Discrimination (salaried vs. informal); Lack of legal framework; Right to Housing (Article 43); Violation of Public Participation (Article 118).,Legislative Reincarnation: 'Move fast and legalize later'; rapidly enacting a standalone Act to cure procedural and discriminatory defects (expanding the tax base) to render ongoing litigation moot.,Primary legislation,Active; Re-implemented via Affordable Housing Act 2024.,"2-5, 8-13, 15, 16"
Chief Administrative Secretary (CAS) Positions,"Declared Unconstitutional (High Court, Court of Appeal)",Lack of Public Participation; Violation of Article 155 (duplication of Principal Secretary roles); Lack of statutory backing.,Laundering appointments by treating judicial rulings as 'drafting instructions' to create the missing legal basis retroactively through statutory amendments (National Government Coordination Act).,Executive Appointment / Fiat,Appointments nullified; awaiting statutory backing via National Government Administration Laws (Amendment) Bill.,"2, 5, 10, 12"
Finance Act 2023,Nullified by Court of Appeal; Reinstated by Supreme Court (Oct 2024),Public Participation (Article 118); Culture of Justification; Money Bill concurrence (Article 114); Accountability in feedback loops.,Use of 'Omnibus Legislation' to restructure social contracts; immediate application for 'stay of execution' to continue implementation during appeals; migration of voided sections to standalone Acts.,Primary Legislation (Omnibus),Validated (Law) by Supreme Court.,"2, 6-8, 10"
Digital Identity (Huduma Namba / Maisha Namba),Struck down (Huduma Namba); Contested/Injunction (Maisha Namba),Right to Privacy (Article 31); Lack of Data Protection Impact Assessment (DPIA); Exclusion of marginalized groups; Insufficient Public Participation.,"Fait Accompli Strategy: Rapid, irreversible implementation; rebranding (Huduma to Maisha); using secondary regulations to bypass parliamentary scrutiny; expediting the Data Protection Act 2019 solely to satisfy judicial requirements.",Primary legislation and Secondary regulations,Maisha Namba rollout continuing despite injunctions; Huduma Namba operational following Data Protection Act.,"4, 8-10, 12, 13, 16, 17"
Security Laws (Amendment) Act 2014,Sections declared Unconstitutional (High Court 2015),Media Freedom (Article 34); Freedom of Expression (Article 33); Judicial oversight; Proportionality test (Article 24).,Logrolling: Smuggling controversial provisions into an 'Omnibus' bill during national crises to overwhelm oversight; reintroducing struck-down 'false publication' clauses in subsequent cybercrime laws ('Zombie Laws').,Primary legislation (Omnibus Bill),Partially invalidated; specific sections struck down.,"1, 3, 7, 9, 11, 12, 18, 19"
Social Health Insurance Act (SHIA / SHIF),Suspended by High Court (120-day window); Stayed by Court of Appeal,Right to Health (Article 43 - denial of emergency care); Right to Privacy (Article 31 - digital data collection); Lack of meaningful Public Participation.,"Invoking the 'Doctrine of Necessity' in the Court of Appeal to avoid a legal vacuum, allowing implementation of a flawed system to prevent administrative collapse following the repeal of NHIF.",Primary Legislation (Omnibus),Operating under a stay of execution granted by the Court of Appeal.,"2, 5"
Computer Misuse and Cybercrimes Act (CMCA) 2018 / 2024 Amendment,Initially suspended; later Upheld (2018). 2024 Bill pending.,Freedom of Expression (Article 33); Right to Privacy; Freedom of Conscience (Article 32); Public Participation; Vague definitions of 'fake news'.,Zombie Legislation: Re-enacting unconstitutional clauses previously struck down in security acts by renaming and embedding them in digital-focused statutes.,Primary legislation,2018 Act Validated; 2024 Amendment Bill approved by Committee with amendments.,"7, 8, 11, 18, 20"
Finance Bill 2024,Withdrawn by Executive,Sovereign Power (Article 1); Public Participation; Right to life and assembly.,President utilized powers under Article 115(1)(b) to refer the bill back to Parliament with a memorandum recommending deletion of all clauses to defuse civil unrest.,Primary legislation,Withdrawn,"7, 8"
